timestamp, pstate, power.management, power.draw [W], power.limit [W], power.default_limit [W], power.min_limit [W], power.max_limit [W], temperature.gpu, temperature.memory, memory.used [MiB], memory.total [MiB], memory.free [MiB], clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/03/24 13:13:38.619, P0, Enabled, 47.21, 250.00, 250.00, 150.00, 250.00, 38, 37, 1, 40960, 40445, 1080, 1215
2026/03/24 13:13:39.629, P0, Enabled, 52.29, 250.00, 250.00, 150.00, 250.00, 38, 37, 1, 40960, 40445, 1230, 1215
2026/03/24 13:13:40.629, P0, Enabled, 41.50, 250.00, 250.00, 150.00, 250.00, 38, 37, 1, 40960, 40445, 255, 1215
2026/03/24 13:13:41.630, P0, Enabled, 40.89, 250.00, 250.00, 150.00, 250.00, 38, 37, 1, 40960, 40445, 210, 1215
2026/03/24 13:13:42.631, P0, Enabled, 41.10, 250.00, 250.00, 150.00, 250.00, 37, 37, 1, 40960, 40445, 210, 1215
2026/03/24 13:13:43.632, P0, Enabled, 40.86, 250.00, 250.00, 150.00, 250.00, 37, 37, 1, 40960, 40445, 210, 1215
2026/03/24 13:13:44.632, P0, Enabled, 41.01, 250.00, 250.00, 150.00, 250.00, 37, 37, 1, 40960, 40445, 210, 1215
2026/03/24 13:13:45.633, P0, Enabled, 40.95, 250.00, 250.00, 150.00, 250.00, 37, 37, 1, 40960, 40445, 210, 1215
2026/03/24 13:13:46.634, P0, Enabled, 40.75, 250.00, 250.00, 150.00, 250.00, 37, 37, 1, 40960, 40445, 210, 1215
2026/03/24 13:13:47.634, P0, Enabled, 40.94, 250.00, 250.00, 150.00, 250.00, 37, 37, 1, 40960, 40445, 210, 1215
2026/03/24 13:13:48.635, P0, Enabled, 40.94, 250.00, 250.00, 150.00, 250.00, 37, 37, 1, 40960, 40445, 210, 1215
2026/03/24 13:13:49.636, P0, Enabled, 41.01, 250.00, 250.00, 150.00, 250.00, 37, 37, 1, 40960, 40445, 210, 1215
