timestamp, pstate, power.management, power.draw [W], power.limit [W], power.default_limit [W], power.min_limit [W], power.max_limit [W], temperature.gpu, temperature.memory, memory.used [MiB], memory.total [MiB], memory.free [MiB], clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/04/04 13:21:03.817, P0, Enabled, 45.90, 250.00, 250.00, 150.00, 250.00, 37, 37, 1, 40960, 40445, 1410, 1215
2026/04/04 13:21:04.825, P0, Enabled, 67.32, 250.00, 250.00, 150.00, 250.00, 38, 38, 1, 40960, 40445, 1410, 1215
2026/04/04 13:21:05.826, P0, Enabled, 42.04, 250.00, 250.00, 150.00, 250.00, 37, 38, 1, 40960, 40445, 270, 1215
2026/04/04 13:21:06.826, P0, Enabled, 41.63, 250.00, 250.00, 150.00, 250.00, 37, 38, 1, 40960, 40445, 210, 1215
2026/04/04 13:21:07.827, P0, Enabled, 41.61, 250.00, 250.00, 150.00, 250.00, 37, 38, 1, 40960, 40445, 210, 1215
2026/04/04 13:21:08.828, P0, Enabled, 41.51, 250.00, 250.00, 150.00, 250.00, 37, 38, 1, 40960, 40445, 210, 1215
2026/04/04 13:21:09.830, P0, Enabled, 41.45, 250.00, 250.00, 150.00, 250.00, 37, 38, 1, 40960, 40445, 210, 1215
2026/04/04 13:21:10.831, P0, Enabled, 41.56, 250.00, 250.00, 150.00, 250.00, 37, 37, 1, 40960, 40445, 210, 1215
2026/04/04 13:21:11.833, P0, Enabled, 41.36, 250.00, 250.00, 150.00, 250.00, 37, 37, 1, 40960, 40445, 210, 1215
2026/04/04 13:21:12.834, P0, Enabled, 41.46, 250.00, 250.00, 150.00, 250.00, 37, 37, 1, 40960, 40445, 210, 1215
2026/04/04 13:21:13.835, P0, Enabled, 41.47, 250.00, 250.00, 150.00, 250.00, 37, 37, 1, 40960, 40445, 210, 1215
2026/04/04 13:21:14.835, P0, Enabled, 41.45, 250.00, 250.00, 150.00, 250.00, 37, 37, 1, 40960, 40445, 210, 1215
2026/04/04 13:21:15.836, P0, Enabled, 41.46, 250.00, 250.00, 150.00, 250.00, 37, 37, 1, 40960, 40445, 210, 1215
2026/04/04 13:21:16.837, P0, Enabled, 41.25, 250.00, 250.00, 150.00, 250.00, 36, 37, 1, 40960, 40445, 210, 1215
2026/04/04 13:21:17.837, P0, Enabled, 41.35, 250.00, 250.00, 150.00, 250.00, 36, 37, 1, 40960, 40445, 210, 1215
2026/04/04 13:21:18.838, P0, Enabled, 41.35, 250.00, 250.00, 150.00, 250.00, 36, 37, 1, 40960, 40445, 210, 1215
2026/04/04 13:21:19.839, P0, Enabled, 41.35, 250.00, 250.00, 150.00, 250.00, 36, 37, 1, 40960, 40445, 210, 1215
2026/04/04 13:21:20.839, P0, Enabled, 41.46, 250.00, 250.00, 150.00, 250.00, 36, 37, 1, 40960, 40445, 210, 1215
